pubmedid	progenetix_curator														
33567541	Sofia Pfund														
33544757	Sofia Pfund														
33560380	Sofia Pfund														
33509126	Sofia Pfund														
32796005	Sofia Pfund														
33562188	Sofia Pfund														
32899953	Sofia Pfund														
32895052	Sofia Pfund														
32802958	Sofia Pfund														
33147338	Sofia Pfund														
10092127	Sofia Pfund														
33802025	Sofia Pfund														
33767857	Sofia Pfund														
33643802	Sofia Pfund														
33627664	Sofia Pfund														
33732635	Sofia Pfund														
															